uniform_number,player_name,position,bats,throws,ht,wt,yob
5,Sabbadini Alex,P,R,R,180,90,2001
41,Sabbatani Marco,C,R,R,179,85,1989
21,Servidei Luca,SS,R,R,175,75,1994
29,Servidei Marco,3B,R,R,180,88,2000
18,Tanesini Paolo,OF,L,R,170,72,1981
58,Allegri Alessandro,P/1B/OF/UTL,R,L,0,0,2005
2,Bettati Jacopo,1B/OF/UTL,R,R,0,0,1990
95,Cannata Gianmarco,2B/UTL,R,R,0,0,1998
6,Carima Emanuele,IF/UTL,R,R,0,0,2005
19,Carnevale Simone,P/UTL,R,R,184,87,2004
22,Catellani Sebastiano,P/OF/UTL,R,L,0,0,2004
54,Garbi Alberto,C/UTL,R,R,0,0,2006
1,Gremi Marcello,P/UTL,R,R,0,0,1992
16,Guglielmi Edoardo,2B/UTL,R,R,0,0,2004
43,Lori Emanuele,3B/IF,R,R,0,0,1990
77,Manghi Giacomo,OF/UTL,R,R,0,0,2003
15,Perez Santana Yan Luis,OF/UTL,R,R,0,0,2004
88,Pomponi Michele,P/3B/OF/UTL,R,R,0,0,1998
9,Rodríguez López Marc,C/UTL,R,R,191,95,2004
84,Spagnolo Nicola,P/1B/UTL,R,R,0,0,2005
50,Squarcia Riccardo,IF/UTL,R,R,0,0,2006
0,Tonelli Luca,UTL,R,R,0,0,1998
4,TORRES ZAMBRANO GABRIEL JOSE,P,L,L,,,2001
8,Vasquez Marrero Andres Eloy,P/UTL,R,R,,,2001
17,Zaccarini Elia,P,R,R,0,0,2006
37,Arcila Anthony,P,R,R,0,0,1991
48,Benetton Federico,P,R,R,0,0,2004
10,Benetton Riccardo,C,R,R,0,0,2004
9,Brunati Michele,C/DH,R,R,0,0,1994
88,Canache Soler Roberto Arturo,OF,R,R,0,0,1990
15,Giacomazzi Pierangelo,OF,R,R,0,0,1988
19,Lotti Alessandro,2B/3B/SS,R,R,0,0,2004
26,Maggiolo Leonardo,1B,R,R,0,0,2004
34,Magro Marco,1B,R,R,0,0,2000
82,Martignoni Andrea,P/OF,L,L,0,0,1997
70,Martinez Torrez Anderson Rafael,P,R,R,,,1993
32,Moccia Gianluca,2B/3B/SS,R,R,0,0,1977
25,Novello Davide,P/OF,L,L,0,0,1999
5,Pacini Filippo,UTL,R,R,0,0,1988
35,Salvagnin Tommaso,OF,R,R,0,0,2004
3,Sambugaro Matteo,OF,R,R,0,0,2004
24,Smaniotto Davide,P,L,L,0,0,2005
43,Talevi Exequiel Agustin,SS,R,R,0,0,1994
47,Tombel Riccardo,3B,R,R,0,0,1995
40,Tuzzi Riccardo,1B,R,R,0,0,2001
73,Urbinati Matteo,2B,R,R,0,0,1999
21,Anselmi Davide,P,R,R,0,0,1995
2,Bonamini Andrea,C/UTL,R,R,0,0,2003
5,Bottaro Giovanni,1B/DH,R,R,0,0,1978
15,Damon William John,UTL,R,R,,,1996
44,Dando Niccolò Christopher,P,R,R,0,0,2003
8,De Boni Filippo,C,R,R,0,0,1990
6,ELORZA Juan,P,R,R,171,65,2000
20,Falzi Nicola,OF,R,R,0,0,1994
18,Giarraputo Stefano,P/UTL,R,R,175,65,1997
14,Guarda Dario,P,R,R,0,0,1996
7,Guzman Castro Oscar Antonio,P,R,R,,,2003
45,Meliori Davide,SS/UTL,R,R,185,74,1998
12,Mondo Marco,LF/CF/RF,R,R,0,0,1984
25,Montalbetti Lucas Paolo,UTL,R,R,0,0,1983
55,Mosconi Leonardo,LF/CF/RF,R,R,0,0,1995
30,Nifosì Matteo,3B,R,R,0,0,2000
10,Orrasch Andrea,C/UTL,R,R,0,0,2001
27,Piccoli Davide,SS/UTL,R,R,0,0,2001
13,Rampo Elia,1B/CF,R,R,0,0,1991
33,Rubenstein Brody James,CF,R,R,,,1997
33,BARCELAN RODRIGUEZ JORGE LUIS,3B/UTL,R,R,170,80,1990
35,Biscontri Niccolò Maria,C/1B/UTL,R,R,173,75,1991
30,Carletti Matteo,P/UTL,R,R,175,70,1997
50,Chelli Gabriele,CF,R,R,173,65,2000
10,Cipriani Federico,UTL,R,R,175,80,1965
16,Cozzolino Federico,P/UTL,R,R,180,75,1994
14,Franceschelli Tommaso,UTL,R,R,175,65,2003
42,Gonzalez Valera Luis Gabriel,P,L,L,180,85,1993
22,Herrera Torrez Jose Francisco,3B/SS,R,R,175,80,1993
27,Hidalgo Reyes Stalin Stiven,P/UTL,R,R,185,70,2001
41,Martini Parilli Renzo Guillermo,1B/UTL,R,R,180,80,1992
43,Noguera Freddy Miguel,UTL,R,R,175,80,1991
70,Noguera Rodriguez Antonio,P,L,L,190,95,1988
38,Oberto Orlando Junior,P/UTL,L,L,185,88,1980
4,Pizzoli Gomez Franco Javier,C/1B/UTL,R,R,170,85,1994
17,Sarrocco Yuri,C/UTL,R,R,165,70,1999
15,TOMSJANSEN Rushenten Laybert Apostel,CF/UTL,R,R,180,69,2001
28,Vaglio Francesco,2B/UTL,R,R,175,70,2000
99,Adorni Tommaso,UTL,R,R,173,70,2004
9,Amoretti Arturo,UTL,R,R,0,0,2002
60,Astorri Simone,UTL,R,R,,,1996
6,Barba Matteo,UTL,R,R,0,0,2004
20,Bassi Marco,P,R,R,0,0,2000
70,Bigliardi Riccardo,UTL,L,L,0,0,2002
50,Borella Jacopo,P,R,R,0,0,2004
15,Covati Matteo,UTL,R,R,0,0,2001
11,Dallatana Federico,P,R,R,0,0,2000
77,Dentoni Federico,UTL,R,R,0,0,1998
29,Fasan Filippo,UTL,R,R,0,0,2004
18,Fava Jacopo,UTL,R,R,0,0,2001
33,Gerali Guido,UTL,R,R,0,0,1996
42,Gerali Matteo,UTL,R,R,0,0,2005
25,Gradali Lorenzo,UTL,R,R,0,0,1995
