uniform_number,player_name,position,bats,throws,ht,wt,yob
11,SMEENK Raphael,IF,S,R,179,71,2003
40,URBANUS Casper,P,R,R,0,0,2003
44,VAN 'T KLOOSTER Koen,P,R,R,193,81,2003
23,VAN DE SANDEN Tommy,IF,R,R,185,85,1999
34,VAN DE SANDEN Sven,P,R,R,183,83,1993
29,VAN DER LELIE Jelle,P,R,R,191,87,2002
7,VAN DER WIJST Oliver,IF,R,R,182,87,1998
37,VERKRUIJSSEN Kimi,P,R,R,185,65,2007
25,VIJFVINKEL Pim,P,R,R,178,96,2001
41,VOS Daniel,P,R,R,199,105,2000
99,VOS Lucas,OF,R,R,188,84,2002
36,BEERMAN Jamie,IF,R,L,187,78,2006
40,BLOKKER Finn,P,R,R,0,0,2001
18,BREEK Donny,P,R,R,187,97,1999
32,BROERS Colin,OF,R,R,0,0,2007
19,CLARA Robyn,P,R,R,186,90,1995
35,CROUWEL Matis,C,R,R,185,80,2004
58,ELFRINK Jasper,P,L,L,194,106,1998
15,ESHUIS Dylan,P,R,R,0,0,2006
13,ESKES Bodie,OF,L,L,0,0,2006
27,FAHRNER Sol,IF,R,R,0,0,2006
21,FINNEGAN Aiden,C,R,R,0,0,2000
1,FRANKA Amarensio,IF,R,R,184,85,2006
51,GROEN Mike,P,R,R,192,90,1996
8,HERKEMIJ Cris,IF,R,R,0,0,1999
29,HOFER Nick,OF,R,R,183,72,2001
54,IMMING Tobias,P,R,R,190,88,2006
34,ISIDORA Robert,OF,L,L,0,0,2003
12,KUIJER Tristan,IF,R,R,178,55,2007
24,KUIJPER Donny,IF,R,R,0,0,1999
49,KUIJPER Sem,C,R,R,182,82,2003
23,KWAKERNAAK Thomas,IF,R,R,0,0,2001
10,MEINSMA Joris,P,R,R,177,66,2007
52,MOONEN Perry,P,R,R,0,0,2005
48,NAGEL Tijmen,IF,R,R,0,0,2002
17,OOSTERBEEK Mathijs,P,R,R,185,85,2003
6,REDAN Irving,OF,R,R,0,0,1988
7,REDAN Ibrahin,IF,R,R,0,0,1993
39,RIZVIC Rick,P,L,L,180,83,2003
84,TELLEMAN Dylan,P,R,R,0,0,2002
50,TER BEEST Ruben,IF,R,R,0,0,2006
20,TIMMER Bas,OF,L,L,0,0,1998
30,TIMMERMANS Rick,P,R,R,0,0,1999
25,TOLENAARS Marcel,IF,R,R,0,0,1993
3,TOPPEN Julian,OF,R,R,0,0,2003
45,VAN DEN BERG Jesse,IF,R,R,0,0,1999
46,VAN DEN BOS Ilyas,C,R,R,0,0,2005
37,VAN GENDEREN Moos,OF,R,R,183,69,2006
38,VAN HEMERT Wesley,C,R,R,0,0,1997
9,VICARIO Jayvon,C,R,R,0,0,2006
66,WILLEM Lorenzo,C,R,R,173,65,2008
0,ATMOPAWIRO Zico,IF,R,R,0,0,2007
0,BALTUS Daan,IF,L,R,0,0,2006
0,BOBELDIJK Thijs,C,R,R,0,0,2002
0,Brenk Eric,IF,R,R,0,0,1992
13,BROOKS Denzel,IF,R,R,0,0,1997
7,BURGERSDIJK Dennis,P,R,R,188,100,1988
0,CALLISTE J'mar,C,R,R,0,0,2004
72,DIABY Nathan,P,R,R,0,0,1999
9,DRAIJER Victor,OF,R,R,185,90,1993
0,GHIJSEN Koen,P,R,R,0,0,2008
31,GOINS Julian,C,R,R,184,94,1994
38,GONZALEZ ROJAS Francisco,P,R,R,0,0,1994
0,HOEVENBERG Jeffrey,P,R,R,0,0,2005
0,HOLLANDER Ruben,C,R,R,0,0,2004
0,HOYER Jim,P,R,R,0,0,2007
39,HUIJER Lars,P,R,R,194,102,1993
51,KAREL Sedley,P,R,R,0,0,1990
47,KEUR Nick,P,L,L,191,145,1997
0,KRAAN Boris,P,R,R,0,0,2007
25,MARLIN Shurman,IF,L,L,0,0,1992
23,MARTINA Brendly,IF,R,R,0,0,1996
37,POPKEN Jasper,P,R,R,0,0,1997
0,REDAN Danyll Sky,P,R,R,0,0,2008
0,RUSTENBURG Elijah,P,R,R,0,0,2006
2,SELASSA Delano,IF,R,R,188,86,1999
0,SPEKKING Toss,C,R,R,0,0,2008
16,TIMMERMANS Kaj,P,R,R,0,0,1995
32,TROMP Jeandro,OF,L,L,165,77,2000
27,VAN BORKULO Jair,C,R,R,187,97,2002
0,VAN DEN BOSCH Niels,P,R,R,0,0,2002
3,VAN DER MEER Bob,IF,R,R,187,87,1996
33,VERPAALEN Daan,IF,R,R,180,75,2000
36,WERKMAN Koen,OF,R,R,0,0,1992
34,WIEGERS Kevin,IF,R,R,190,67,2001
75,Ahrens Vincent,C,S,R,0,0,1993
15,AUSSEMS Jesse,IF,L,R,0,0,1992
32,BAKKER Kevin,P,R,R,187,84,1999
4,BONEVACIA Arthur,OF,S,R,0,0,1988
3,CAROLINA Rayshelon,OF,R,R,0,0,1993
0,Collins Darnel,IF,L,L,181,87,2004
33,COLLINS Darryl,OF,L,R,189,87,2001
37,DE BLOK Tom,P,R,R,191,110,1996
36,DE GROOT Aaron,P,R,R,180,84,1999
1,DIAZ Christian,OF,L,L,0,0,1989
38,DIRKSEN Kevin,OF,R,R,193,97,1992
43,FREDRIKZE Tijn,P,L,L,161,52,2007
10,HUNTINGTON Ryan,P,L,L,0,0,1996
20,JAMANIKA Sheadion,IF,R,R,183,90,1998
23,JANSSEN Dave,C,R,R,179,84,1999
33,KELLY Kevin,P,R,R,182,92,1990
24,KEMP Dwayne,IF,R,R,170,81,1988
39,MARTIS Shairon,P,R,R,185,102,1987
6,MOHAMED Jayden,IF,R,R,186,93,2004
28,PIETERNELLA Keegan,C,S,R,167,76,2007
30,POSTELMANS Koen,P,R,R,189,85,2000
77,SEELBACH Den,IF,R,R,0,0,1999
2,SIENDERS Louie,C,R,R,0,0,1992
0,SULBARAN Juancarlos,P,R,R,188,96,1989
64,TERPSTRA Joost,P,R,R,188,83,2001
18,VAN DER MEER Stijn,IF,L,R,190,82,1993
0,AFMAN Sem,C,R,R,0,0,2002
32,BELJAARDS Duncan,C,R,R,0,0,2004
0,BRODSO Tye,C,R,R,0,0,2006
18,BURLESON Miles,OF,R,R,0,0,2006
4,CORNELISSEN Maxwell Marley,P,L,L,168,70,2005
0,DE GRAAF Levi,IF,R,R,0,0,2008
10,DE VREEDE Bodhi,OF,R,R,0,0,1997
49,DITERS Raff,IF,R,R,0,0,2006
8,DUMITRESCU Michael,OF,L,L,0,0,2001
31,HEEMSKERK Terrance,IF,L,R,178,70,2005
0,HEGEMAN Peter,P,R,R,0,0,2002
44,HEILIGERS Daniel,OF,R,R,0,0,1999
13,HOGENDOORN Ryan,P,R,R,0,0,2005
17,KUIT Daan,P,R,R,0,0,2001
24,MEIJER Andreas,IF,R,R,0,0,2001
28,MERCADO REYES Tyrell,OF,R,R,176,78,2007
7,MEVISSEN Vincent,IF,R,R,0,0,2003
39,MOK Kylian,C,R,R,0,0,2003
98,NIJKAMP Arjen,P,R,R,194,100,2003
33,NIJMAN Sem,P,L,L,0,0,2004
11,OUKES Kaien Robin,P,L,L,0,0,2004
0,ROMEIJN Yannick,IF,R,R,0,0,2004
27,SMIT Maarten Johannes,P,L,L,182,76,2005
12,STACIE Alden,OF,R,R,0,0,2000
99,TERSTALL Daan,IF,R,R,0,0,2000
0,VAN ALEM Jesper,C,R,R,0,0,2005
3,VAN ATTEN Jayden,IF,R,R,183,73,2006
22,VAN DEN OUWEELEN Just,P,R,R,193,88,2005
14,VAN ES Jesse,P,R,R,0,0,2002
5,VAN GORKUM Luca,OF,R,R,186,85,2002
89,WILLEM Miquel,IF,L,L,177,72,2005
29,WILLIAMS Darryl,OF,R,R,0,0,1993
0,BAKKER Sven,P,R,R,0,0,2004
7,CLEMENSIA Taylor,OF,L,L,0,0,1997
0,Clotida Jisjar,OF,L,L,0,0,1998
99,DE BOER Olivier,C,R,R,0,0,2006
10,Dometilia Jerson,IF,R,R,0,0,1998
0,DUIJM Steven,P,R,R,0,0,1998
12,FECUNDA Jurickson,OF,R,R,0,0,1999
22,HATMA Enrique,C,R,R,0,0,1999
0,Henrietta Alex,IF,R,R,0,0,1998
0,HENRIETTA Lex,IF,R,R,0,0,1998
26,ISENIA Aaron,P,L,L,0,0,2000
0,KAMPHORST Floris Jan,P,R,R,0,0,1999
14,KOEIMAN Elton,P,R,R,0,0,1973
8,KUIPERS Stefan,IF,R,R,0,0,2000
84,MELAAN Carleton,P,R,R,0,0,1990
29,MULLER Luca,IF,R,R,0,0,2004
13,ODULIA Faisel,P,R,R,0,0,1995
4,PEELS Rick,IF,R,R,0,0,2007
52,RIFAELA Jhan,P,L,L,0,0,1994
25,RIJPSTRA Nik,IF,R,R,0,0,2004
77,RIJPSTRA Bas,C,R,R,0,0,2006
66,SAMBOE Jiairo,P,L,L,0,0,1999
83,STAAL Finn,OF,R,L,0,0,2005
24,VAN DE HORIK Jay,P,R,R,0,0,2001
18,VAN DULKEN Ben,C,R,R,0,0,2001
27,VAN HOLY Vince,P,R,R,0,0,2007
23,WEBB Emon,IF,R,R,0,0,1996
81,WEVER Dyvancho,IF,R,R,0,0,1996
